,id,name,url
57,1011331,Charlie Campion,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
58,1012019,Charlie-27,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
59,1010754,Chase Stein,http://i.annihil.us/u/prod/marvel/i/mg/b/d0/4ce5a2e831d0c.jpg
60,1011359,Chat,http://i.annihil.us/u/prod/marvel/i/mg/2/50/4ce5a6cd63eaf.jpg
61,1009237,Chimera,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
62,1011411,Chores MacGillicudy,http://i.annihil.us/u/prod/marvel/i/mg/5/80/4c002e1c622c8.jpg
63,1011187,Christian Walker,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
64,1009238,Chronomancer,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
65,1012065,Chthon,http://i.annihil.us/u/prod/marvel/i/mg/a/00/4ce5a8f848c62.jpg
66,1011270,ClanDestine,http://i.annihil.us/u/prod/marvel/i/mg/9/10/4c002ef39a9a5.jpg
67,1009239,Clea,http://i.annihil.us/u/prod/marvel/i/mg/f/60/4c00406b55161.jpg
68,1014999,Clea (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
69,1010809,Clint Barton,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
70,1009241,Cloak,http://i.annihil.us/u/prod/marvel/i/mg/5/e0/528d31d76a2b0.jpg
71,1010823,Cloud 9,http://i.annihil.us/u/prod/marvel/i/mg/6/80/526955ef00db6.jpg
72,1011286,Cobalt Man,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
73,1010676,Colleen Wing,http://i.annihil.us/u/prod/marvel/i/mg/8/e0/52740e24bddb4.jpg
74,1010798,Colonel America,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
75,1009243,Colossus,http://i.annihil.us/u/prod/marvel/i/mg/6/e0/51127cf4b996f.jpg
76,1010917,Colossus (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
77,1011410,Confederates of the Curious,http://i.annihil.us/u/prod/marvel/i/mg/5/c0/4c002e1f3f490.jpg
78,1009245,Constrictor,http://i.annihil.us/u/prod/marvel/i/mg/2/b0/4c004065a3a78.jpg
79,1011407,Contessa (Vera Vidal),http://i.annihil.us/u/prod/marvel/i/mg/2/70/4c002e274342b.jpg
80,1010346,Controller,http://i.annihil.us/u/prod/marvel/i/mg/3/60/4c003923719ff.jpg
81,1009246,Cornelius,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
82,1009247,Corsair,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/4c004062d89bd.jpg
83,1011353,Cosmo (dog),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
84,1011362,Cottonmouth,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
85,1009249,Count Nefaria,http://i.annihil.us/u/prod/marvel/i/mg/f/a0/4c00405d04674.jpg
86,1009250,Countess,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
87,1011272,Crimson Crusader,http://i.annihil.us/u/prod/marvel/i/mg/8/70/4c002ef0eb443.jpg
88,1009251,Crimson Dynamo,http://i.annihil.us/u/prod/marvel/i/mg/3/b0/526955e3c7c41.jpg
89,1017323,Crimson Dynamo (Iron Man 3 - The Official Game),http://i.annihil.us/u/prod/marvel/i/mg/3/b0/5239c1307d9c9.jpg
90,1011169,Crimson King,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
91,1009252,Crossbones,http://i.annihil.us/u/prod/marvel/i/mg/1/c0/4c00405a403c0.jpg
92,1009253,Crule,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
93,1009254,Crusher Hogan,http://i.annihil.us/u/prod/marvel/i/mg/5/90/4c004057a5bc6.jpg
94,1014991,Crusher Hogan (Ultimate),http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
95,1009255,Crystal,http://i.annihil.us/u/prod/marvel/i/mg/6/c0/52695564bcf1e.jpg
96,1011268,Cuckoo,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
97,1009244,Curt Conners,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
98,1011174,Cuthbert,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg
99,1009256,Cyber,http://i.annihil.us/u/prod/marvel/i/mg/1/f0/4c0040521bc06.jpg
